bus,plateNumber,route_id,request_id,user_id,request_created_at,route_departure_name,route_departure_id,route_arrival_name,route_arrival_id,request_accepted_at,request_etd,request_eta,route_atd,route_ata,passengers,request_departure_name,request_departure_id,request_arrival_name,request_arrival_id,status
1,IPT 7084,254,274,27,2024-04-23 09:11:39.398000,Plateia Vergoti,2,Trochaia,9,2024-04-23 09:11:39.311273,2024-04-23 09:11:39.000000,2024-04-23 09:17:20.000000,2024-04-23 09:11:49.515178,2024-04-23 09:21:35.365015,1,Plateia Vergoti,2,Trochaia,9,COMPLETED
3,IPT 7081,258,275,86,2024-04-23 09:21:05.170000,Plateia Glyfadas,1,Plateia Vergoti,2,2024-04-23 09:21:05.608827,2024-04-23 09:30:58.000000,2024-04-23 09:33:31.000000,2024-04-23 09:29:43.072782,2024-04-23 09:29:50.436097,1,Plateia Glyfadas,1,Plateia Vergoti,2,COMPLETED
1,IPT 7084,260,276,25,2024-04-23 09:24:20.642000,Plateia Vergoti,2,Trochaia,9,2024-04-23 09:24:20.751154,2024-04-23 09:34:27.000000,2024-04-23 09:40:08.000000,2024-04-23 09:37:02.124051,2024-04-23 09:45:49.007245,1,Plateia Vergoti,2,Trochaia,9,COMPLETED
3,IPT 7081,258,277,30,2024-04-23 09:27:20.788000,Plateia Glyfadas,1,Plateia Vergoti,2,2024-04-23 09:27:21.088096,2024-04-23 09:30:58.000000,2024-04-23 09:33:31.000000,2024-04-23 09:29:43.072782,2024-04-23 09:29:50.436097,1,Plateia Glyfadas,1,Plateia Vergoti,2,COMPLETED
2,IPO 7757,259,278,30,2024-04-23 09:30:08.770000,Gymnasio,4,DEI,8,2024-04-23 09:30:09.058481,2024-04-23 09:39:27.000000,2024-04-23 09:45:20.000000,2024-04-23 09:35:39.299249,2024-04-23 09:43:25.774229,1,Gymnasio,4,DEI,8,COMPLETED
3,IPT 7081,261,279,28,2024-04-23 09:32:23.684000,Plateia Glyfadas,1,Agia Triada,5,2024-04-23 09:32:24.211895,2024-04-23 09:35:13.000000,2024-04-23 09:46:34.000000,2024-04-23 09:37:31.004108,2024-04-23 09:47:04.695207,3,Plateia Glyfadas,1,Agia Triada,5,COMPLETED
4,ITN 1930,262,280,47,2024-04-23 09:33:26.593000,Gymnasio,4,Aigaiou,7,2024-04-23 09:33:26.553464,2024-04-23 09:33:51.000000,2024-04-23 09:46:02.000000,2024-04-23 09:38:42.438034,2024-04-23 09:46:24.863545,1,Gymnasio,4,Plateia Karaiskaki,11,COMPLETED
4,ITN 1930,264,280,47,2024-04-23 09:33:26.593000,Aigaiou,7,Agios Tryfon,10,2024-04-23 09:33:26.553464,2024-04-23 09:33:51.000000,2024-04-23 09:46:02.000000,2024-04-23 09:46:25.486888,2024-04-23 09:50:24.074893,1,Gymnasio,4,Plateia Karaiskaki,11,COMPLETED
4,ITN 1930,267,280,47,2024-04-23 09:33:26.593000,Agios Tryfon,10,Plateia Karaiskaki,11,2024-04-23 09:33:26.553464,2024-04-23 09:33:51.000000,2024-04-23 09:46:02.000000,2024-04-23 09:50:24.514352,2024-04-23 09:54:19.957818,1,Gymnasio,4,Plateia Karaiskaki,11,COMPLETED
4,ITN 1930,264,282,24,2024-04-23 09:33:42.273000,Aigaiou,7,Agios Tryfon,10,2024-04-23 09:33:42.559733,2024-04-23 09:37:33.000000,2024-04-23 09:41:41.000000,2024-04-23 09:46:25.486888,2024-04-23 09:50:24.074893,1,Aigaiou,7,Agios Tryfon,10,COMPLETED
2,IPO 7757,265,283,27,2024-04-23 09:33:45.811000,Trochaia,9,Kyprou,3,2024-04-23 09:33:45.726203,2024-04-23 09:46:24.000000,2024-04-23 09:57:32.000000,2024-04-23 09:46:54.095729,2024-04-23 09:59:42.151886,1,Trochaia,9,Kyprou,3,COMPLETED
2,IPO 7757,272,284,30,2024-04-23 09:43:46.364000,Plateia Glyfadas,1,Agios Tryfon,10,2024-04-23 09:43:46.660853,2024-04-23 10:00:16.000000,2024-04-23 10:09:33.000000,2024-04-23 10:07:19.621430,2024-04-23 10:18:44.709187,1,Plateia Glyfadas,1,Agios Tryfon,10,COMPLETED
4,ITN 1930,273,286,25,2024-04-23 09:57:05.739000,Gymnasio,4,Kyprou,3,2024-04-23 09:57:05.837451,2024-04-23 10:07:13.000000,2024-04-23 10:12:19.000000,2024-04-23 10:14:03.855601,2024-04-23 10:19:03.016708,1,Gymnasio,4,Kyprou,3,COMPLETED
2,IPO 7757,275,292,30,2024-04-23 10:18:56.216000,Aigaiou,7,DEI,8,2024-04-23 10:18:56.509687,2024-04-23 10:28:49.000000,2024-04-23 10:33:35.000000,2024-04-23 10:27:58.044791,2024-04-23 10:38:14.630817,1,Aigaiou,7,DEI,8,COMPLETED
4,ITN 1930,276,293,25,2024-04-23 10:19:56.866000,Agios Tryfon,10,Plateia Glyfadas,1,2024-04-23 10:19:56.983815,2024-04-23 10:35:50.000000,2024-04-23 10:46:24.000000,2024-04-23 10:34:36.218763,2024-04-23 10:49:46.715832,1,Agios Tryfon,10,Plateia Glyfadas,1,COMPLETED
4,ITN 1930,276,295,24,2024-04-23 10:23:16.306000,Agios Tryfon,10,Plateia Glyfadas,1,2024-04-23 10:23:16.588088,2024-04-23 10:35:50.000000,2024-04-23 10:48:56.000000,2024-04-23 10:34:36.218763,2024-04-23 10:49:46.715832,1,Agios Tryfon,10,Plateia Vergoti,2,COMPLETED
4,ITN 1930,280,295,24,2024-04-23 10:23:16.306000,Plateia Glyfadas,1,Plateia Vergoti,2,2024-04-23 10:23:16.588088,2024-04-23 10:35:50.000000,2024-04-23 10:48:56.000000,2024-04-23 10:49:47.381494,2024-04-23 10:52:45.294819,1,Agios Tryfon,10,Plateia Vergoti,2,COMPLETED
1,IPT 7084,284,302,27,2024-04-24 07:10:38.270000,Plateia Vergoti,2,Trochaia,9,2024-04-24 07:10:38.431782,2024-04-24 07:18:53.000000,2024-04-24 07:24:33.000000,2024-04-24 07:20:38.036549,2024-04-24 07:29:10.620726,1,Plateia Vergoti,2,Trochaia,9,COMPLETED
2,IPO 7757,283,303,25,2024-04-24 07:10:52.927000,Plateia Vergoti,2,Gymnasio,4,2024-04-24 07:10:53.105029,2024-04-24 07:10:52.000000,2024-04-24 07:19:59.000000,2024-04-24 07:17:34.399885,2024-04-24 07:31:17.749925,1,Plateia Vergoti,2,Gymnasio,4,COMPLETED
3,IPT 7081,282,304,23,2024-04-24 07:11:03.464000,Plateia Vergoti,2,Plateia Glyfadas,1,2024-04-24 07:11:04.644530,2024-04-24 07:18:17.000000,2024-04-24 07:35:32.000000,2024-04-24 07:17:27.809104,2024-04-24 07:22:07.881359,1,Plateia Vergoti,2,Aigaiou,7,COMPLETED
3,IPT 7081,286,304,23,2024-04-24 07:11:03.464000,Plateia Glyfadas,1,Aigaiou,7,2024-04-24 07:11:04.644530,2024-04-24 07:18:17.000000,2024-04-24 07:35:32.000000,2024-04-24 07:22:08.098508,2024-04-24 07:29:46.464938,1,Plateia Vergoti,2,Aigaiou,7,COMPLETED
1,IPT 7084,284,306,24,2024-04-24 07:15:05.456000,Plateia Vergoti,2,Trochaia,9,2024-04-24 07:15:05.768820,2024-04-24 07:18:53.000000,2024-04-24 07:24:33.000000,2024-04-24 07:20:38.036549,2024-04-24 07:29:10.620726,1,Plateia Vergoti,2,Trochaia,9,COMPLETED
1,IPT 7084,284,307,47,2024-04-24 07:15:36.219000,Plateia Vergoti,2,Trochaia,9,2024-04-24 07:15:36.141104,2024-04-24 07:18:53.000000,2024-04-24 07:31:23.000000,2024-04-24 07:20:38.036549,2024-04-24 07:29:10.620726,1,Plateia Vergoti,2,Aigaiou,7,COMPLETED
